time=490,ADDR=49,xR=-0.007782,xI=0.000000,DinR=ff01,DinI=0
time=500,ADDR=50,xR=-0.018524,xI=0.000000,DinR=fda1,DinI=0
time=510,ADDR=51,xR=0.028198,xI=0.000000,DinR=39c,DinI=0
time=520,ADDR=52,xR=-0.011902,xI=0.000000,DinR=fe7a,DinI=0
time=530,ADDR=53,xR=0.001434,xI=0.000000,DinR=2f,DinI=0
time=540,ADDR=54,xR=0.022827,xI=0.000000,DinR=2ec,DinI=0
time=550,ADDR=55,xR=0.004730,xI=0.000000,DinR=9b,DinI=0
time=560,ADDR=56,xR=-0.016541,xI=0.000000,DinR=fde2,DinI=0
time=570,ADDR=57,xR=-0.042480,xI=0.000000,DinR=fa90,DinI=0
time=580,ADDR=58,xR=0.030457,xI=0.000000,DinR=3e6,DinI=0
time=590,ADDR=59,xR=-0.024597,xI=0.000000,DinR=fcda,DinI=0
time=600,ADDR=60,xR=0.002686,xI=0.000000,DinR=58,DinI=0
time=610,ADDR=61,xR=-0.003113,xI=0.000000,DinR=ff9a,DinI=0
time=620,ADDR=62,xR=-0.129852,xI=0.000000,DinR=ef61,DinI=0
time=630,ADDR=63,xR=0.041931,xI=0.000000,DinR=55e,DinI=0
time=640,ADDR=64,xR=0.213501,xI=0.000000,DinR=1b54,DinI=0
time=650,ADDR=65,xR=0.041931,xI=0.000000,DinR=55e,DinI=0
time=660,ADDR=66,xR=-0.129852,xI=0.000000,DinR=ef61,DinI=0
time=670,ADDR=67,xR=-0.003113,xI=0.000000,DinR=ff9a,DinI=0
time=680,ADDR=68,xR=0.002686,xI=0.000000,DinR=58,DinI=0
time=690,ADDR=69,xR=-0.024597,xI=0.000000,DinR=fcda,DinI=0
time=700,ADDR=70,xR=0.030457,xI=0.000000,DinR=3e6,DinI=0
time=710,ADDR=71,xR=-0.042480,xI=0.000000,DinR=fa90,DinI=0
time=720,ADDR=72,xR=-0.016541,xI=0.000000,DinR=fde2,DinI=0
time=730,ADDR=73,xR=0.004730,xI=0.000000,DinR=9b,DinI=0
time=740,ADDR=74,xR=0.022827,xI=0.000000,DinR=2ec,DinI=0
time=750,ADDR=75,xR=0.001434,xI=0.000000,DinR=2f,DinI=0
time=760,ADDR=76,xR=-0.011902,xI=0.000000,DinR=fe7a,DinI=0
time=770,ADDR=77,xR=0.028198,xI=0.000000,DinR=39c,DinI=0
time=780,ADDR=78,xR=-0.018524,xI=0.000000,DinR=fda1,DinI=0
time=790,ADDR=79,xR=-0.007782,xI=0.000000,DinR=ff01,DinI=0
time=800,ADDR=80,xR=0.004578,xI=0.000000,DinR=96,DinI=0
time=810,ADDR=81,xR=0.029968,xI=0.000000,DinR=3d6,DinI=0
time=820,ADDR=82,xR=0.001495,xI=0.000000,DinR=31,DinI=0
time=830,ADDR=83,xR=-0.013306,xI=0.000000,DinR=fe4c,DinI=0
time=840,ADDR=84,xR=0.005768,xI=0.000000,DinR=bd,DinI=0
time=850,ADDR=85,xR=-0.008667,xI=0.000000,DinR=fee4,DinI=0
time=860,ADDR=86,xR=0.018829,xI=0.000000,DinR=269,DinI=0
time=870,ADDR=87,xR=-0.022552,xI=0.000000,DinR=fd1d,DinI=0
time=880,ADDR=88,xR=0.026550,xI=0.000000,DinR=366,DinI=0
time=890,ADDR=89,xR=0.014435,xI=0.000000,DinR=1d9,DinI=0
time=900,ADDR=90,xR=-0.049774,xI=0.000000,DinR=f9a1,DinI=0
time=910,ADDR=91,xR=-0.023499,xI=0.000000,DinR=fcfe,DinI=0
time=920,ADDR=92,xR=-0.025330,xI=0.000000,DinR=fcc2,DinI=0
time=930,ADDR=93,xR=-0.001038,xI=0.000000,DinR=ffde,DinI=0
time=940,ADDR=94,xR=-0.010620,xI=0.000000,DinR=fea4,DinI=0
time=950,ADDR=95,xR=0.044617,xI=0.000000,DinR=5b6,DinI=0
time=960,ADDR=96,xR=0.052063,xI=0.000000,DinR=6aa,DinI=0
time=970,ADDR=97,xR=0.031250,xI=0.000000,DinR=400,DinI=0
time=980,ADDR=98,xR=0.013550,xI=0.000000,DinR=1bc,DinI=0
time=990,ADDR=99,xR=-0.031342,xI=0.000000,DinR=fbfd,DinI=0
time=1000,ADDR=100,xR=0.005310,xI=0.000000,DinR=ae,DinI=0
time=1010,ADDR=101,xR=-0.048584,xI=0.000000,DinR=f9c8,DinI=0
time=1020,ADDR=102,xR=-0.035034,xI=0.000000,DinR=fb84,DinI=0
time=1030,ADDR=103,xR=0.012909,xI=0.000000,DinR=1a7,DinI=0
time=1040,ADDR=104,xR=0.014618,xI=0.000000,DinR=1df,DinI=0
time=1050,ADDR=105,xR=0.000580,xI=0.000000,DinR=13,DinI=0
time=1060,ADDR=106,xR=-0.011078,xI=0.000000,DinR=fe95,DinI=0
time=1070,ADDR=107,xR=0.022247,xI=0.000000,DinR=2d9,DinI=0
time=1080,ADDR=108,xR=-0.020203,xI=0.000000,DinR=fd6a,DinI=0
time=1090,ADDR=109,xR=0.002747,xI=0.000000,DinR=5a,DinI=0
time=1100,ADDR=110,xR=-0.001556,xI=0.000000,DinR=ffcd,DinI=0
time=1110,ADDR=111,xR=0.019440,xI=0.000000,DinR=27d,DinI=0
time=1120,ADDR=112,xR=0.026672,xI=0.000000,DinR=36a,DinI=0
time=1130,ADDR=113,xR=-0.037201,xI=0.000000,DinR=fb3d,DinI=0
time=1140,ADDR=114,xR=0.012573,xI=0.000000,DinR=19c,DinI=0
time=1150,ADDR=115,xR=0.001404,xI=0.000000,DinR=2e,DinI=0
time=1160,ADDR=116,xR=0.005463,xI=0.000000,DinR=b3,DinI=0
time=1170,ADDR=117,xR=-0.003143,xI=0.000000,DinR=ff99,DinI=0
time=1180,ADDR=118,xR=0.013763,xI=0.000000,DinR=1c3,DinI=0
